Parent ID,Department ID,Department Name,Owner,Member
,EXE-001,Chief Executive,,
EXE-001,EXE-002,Business Operations - Corporate Strategy,,
EXE-001,EXE-003,Business Operations - Governance,,
EXE-001,EXE-004,Business Operations - Planning,,
EXE-001,EXE-005,Business Operations - Administration,,
EXE-001,FIN-001,Finance & Accounting,,
FIN-001,FIN-002,Cash Management,,
FIN-001,FIN-003,Internal Audit,,
FIN-001,FIN-004,Taxation,,
EXE-001,HR-001,Human Resources,,
HR-001,HR-002,Recruitment,,
EXE-001,IT-001,Information Technology,,
IT-001,IT-002,Software Development,,
IT-001,IT-003,Network Administration,,
EXE-001,MKT-001,Marketing,,
EXE-001,OPS-001,Operations,,
EXE-001,SLS-001,Sales,,
